,Series6_1,Series6_2,Series6_3,Series16_1,Series16_2,Series16_3,Target
STAT2,-1.6531340033627357,-0.3833286395515056,-3.2580163310671693,4.0906025487809075,1.6898316185751112,1.8043935216864968,1.0
HTATIP2,-2.797334233213826,-0.706463505768862,-3.6506866829439923,-0.020721290374085842,-2.1682003209728515,-1.880545600423142,0.0
ZNF511,-1.7614879133002752,-0.34395440121736137,-3.321928094887362,0.713695814843359,-2.0223678130284544,-1.2718046154615261,0.0
HSF1,-2.350749048296203,-0.50653585376434,-3.9339588388066895,0.14809863898913392,-1.9088521119418047,-1.5041006679710258,0.0
BMP6,-1.8173252108125324,0.5849625007211562,-3.1918675543229895,0.7251401587694166,-1.7625006862733439,-1.371968777386958,0.0
C19orf47,-1.9557571620385172,-0.282399730700725,-3.9541963103868754,0.44541114832236256,-2.046293652273935,-1.5530784397013702,0.0
KREMEN1,-1.8744691179161412,0.0,-3.700439718141092,-0.5849625007211563,-3.123382415505282,-2.1844245711374275,0.0
CTNNA1,-2.8934522212837144,-1.2292460923775104,-4.198954050053845,-0.3386243837596759,-2.4228714584415827,-2.137503523749935,0.0
WASL,-1.7383932984300636,-0.07463880089275587,-3.463283944132904,1.0658020583957462,-1.1738294558982283,-0.7589919004962051,0.0
SLC6A15,-0.4786535985748155,1.5025003405291835,-2.159198594849254,2.402098443571346,0.0874628412503394,-0.4150374992788438,0.0
DIAPH3,-1.8328900141647417,-0.5849625007211563,-4.0,-0.398549376490275,-2.6755650495020626,-2.292781749227846,0.0
POLR3K,-2.1366625473105643,-0.6057210608879536,-4.196397212803504,-0.6189098326444937,-2.341036917835067,-2.301169534720565,0.0
ZNF281,-0.8168202838789383,0.8411594765013963,-2.2140531204237184,2.160657705002341,0.016834438863259978,0.5937736708059778,0.0
DVL3,-2.0617433497128963,-0.35548065459838885,-3.5106151592610755,0.411426245726465,-1.75785296064003,-1.9501240933604302,0.0
PSMC2,-2.4612353634534903,-0.5215371205795225,-3.9392083158812468,0.4070256855222486,-1.5141529091842494,-1.29426799128871,0.0
MMP15,-2.1890338243900174,0.2801079191927352,-5.0,-1.222392421336448,-2.9924663273145926,-3.0588936890535687,0.0
ABCE1,-1.9604078209271025,-0.48239276708060846,-2.9824822387419703,1.1221718699939442,-0.9511877506470564,-0.34518639002487234,0.0
NPRL2,-1.7208459288029292,0.5305147166987798,-4.877744249949003,-0.4525122046975068,-2.561878887608115,-2.584962500721156,0.0
ZNF284,-4.0,-2.321928094887362,-2.0,0.8930847960834882,-0.34103691783506696,-0.8930847960834882,0.0
CRY2,-1.2360673582335244,1.1375035237499351,-3.342392197447078,1.6244908649077938,0.17364808748502975,0.35614381022527536,0.0
PRKCZ,-2.887525270741587,-0.9615258521853645,-4.560714954474479,0.7983661388303495,-2.0128240403575837,-2.3890422907458992,0.0
FAM161A,-2.0829893646710316,0.7004397181410922,-3.357552004618084,0.32192809488736235,-1.8239696359085005,-1.8694158901898554,0.0
NDUFA5,-1.8984812401699835,-0.3081222953623319,-3.35114001610385,0.6265416044725555,-1.6073303137496107,-1.1675999484960684,0.0
CLCN2,-1.690315500867385,-0.5849625007211563,-3.9541963103868754,1.84799690655495,-1.7884958948062883,-0.9510903995190535,0.0
MRPL41,-2.9436666282751673,-1.0,-4.2976805486406855,-0.746243407754217,-3.2434540368642777,-2.642447995381916,0.0
NHS,-2.241008099503795,-1.3948596173412136,-3.7890541053146602,0.4329594072761063,-1.8073549220576042,-1.5720812094244239,0.0
ZCCHC2,-1.0889005045889306,1.0,-3.1529519228385987,2.3383225331380313,0.21572869105543727,0.30773421330460793,0.0
BBS10,-1.8408774946547797,0.0,-3.0426443374084937,0.8333501305905485,-1.5213464014251847,-1.1851114052569884,0.0
ING5,-1.8533303508579908,0.27563444261342734,-4.415037499278844,1.6020360140800975,-0.8901223822276266,-0.7286979781826057,0.0
DBN1,-2.2965266694774478,-0.6350859801469926,-4.126242562624916,-0.04609641458945399,-2.4304525516655313,-2.1045889012771997,0.0
