Pick,Player,dollar_value
313,Boston Scott (PHI - RB),$0
314,Chuba Hubbard (CAR - RB),$0
315,Mark Ingram II (HOU - RB),$0
316,Rhamondre Stevenson (NE - RB),$0
317,Wayne Gallman (SF - RB),$0
318,Qadree Ollison (ATL - RB),$0
319,DeeJay Dallas (SEA - RB),$0
320,Samaje Perine (CIN - RB),$0
321,Benny Snell Jr. (PIT - RB),$0
322,Mike Boone (DEN - RB),$0
323,Matt Breida (BUF - RB),$0
324,Peyton Barber (WAS - RB),$0
325,Jameis Winston (NO - QB),$0
326,Trey Lance (SF - QB),$0
327,Kadarius Toney (NYG - WR),$0
328,Deonte Harris (NO - WR),$0
329,Tim Patrick (DEN - WR),$0
330,Olamide Zaccheaus (ATL - WR),$0
331,Mohamed Sanu (SF - WR),$0
332,Adam Humphries (WAS - WR),$0
333,Nico Collins (HOU - WR),$0
334,Preston Williams (MIA - WR),$0
335,Amari Rodgers (GB - WR),$0
336,Bryan Edwards (LV - WR),$0
337,Keke Coutee (HOU - WR),$0
338,Tyron Johnson (LAC - WR),$0
339,Richie James Jr. (SF - WR),$0
340,Quintez Cephus (DET - WR),$0
341,Byron Pringle (KC - WR),$0
342,Travis Fulgham (PHI - WR),$0
343,Jalen Richard (LV - RB),$0
344,Brian Hill (TEN - RB),$0
345,Carlos Hyde (JAC - RB),$0
346,Johnny Stanton (CLE - RB),$0
347,Brandon Bolden (NE - RB),$0
348,Javian Hawkins (ATL - RB),$0
349,Jermar Jefferson (DET - RB),$0
350,Larry Rountree III (LAC - RB),$0
351,Jaylen Samuels (PIT - RB),$0
352,Elijah Mitchell (SF - RB),$0
353,La'Mical Perine (NYJ - RB),$0
354,Raymond Calais (LAR - RB),$0
355,Jerick McKinnon (KC - RB),$0
356,Geronimo Allison (DET - WR),$0
357,Tutu Atwell (LAR - WR),$0
358,Dyami Brown (WAS - WR),$0
359,Damiere Byrd (CHI - WR),$0
360,Auden Tate (CIN - WR),$0
361,Isaiah McKenzie (BUF - WR),$0
362,Scotty Miller (TB - WR),$0
363,Greg Ward (PHI - WR),$0
364,Teddy Bridgewater (DEN - QB),$0
365,Taysom Hill (NO - QB),$0
366,Jimmy Garoppolo (SF - QB),$0
367,Drew Lock (DEN - QB),$0
368,Tyrod Taylor (HOU - QB),$0
