None,ticker,date,closeadj
59345,AMD,2021-04-30,81.62
59346,AMD,2021-04-29,83.91
59347,AMD,2021-04-28,84.02
59348,AMD,2021-04-27,85.21
59349,AMD,2021-04-26,85.41
59350,AMD,2021-04-23,82.76
59351,AMD,2021-04-22,79.06
59352,AMD,2021-04-21,81.61
59353,AMD,2021-04-20,79.27
59354,AMD,2021-04-19,81.11
59355,AMD,2021-04-16,82.15
59356,AMD,2021-04-15,83.01
59357,AMD,2021-04-14,78.55
59358,AMD,2021-04-13,80.19
59359,AMD,2021-04-12,78.58
59360,AMD,2021-04-09,82.76
59361,AMD,2021-04-08,83.35
59362,AMD,2021-04-07,82.2
59363,AMD,2021-04-06,81.44
59364,AMD,2021-04-05,81.43
59365,AMD,2021-04-01,81.09
59366,AMD,2021-03-31,78.5
59367,AMD,2021-03-30,76.0
59368,AMD,2021-03-29,77.14
59369,AMD,2021-03-26,77.41
59370,AMD,2021-03-25,76.22
59371,AMD,2021-03-24,76.48
59372,AMD,2021-03-23,78.38
59373,AMD,2021-03-22,80.3
59374,AMD,2021-03-19,79.06
59375,AMD,2021-03-18,78.12
59376,AMD,2021-03-17,82.63
59377,AMD,2021-03-16,82.75
59378,AMD,2021-03-15,82.5
59379,AMD,2021-03-12,81.05
59380,AMD,2021-03-11,81.23
59381,AMD,2021-03-10,77.52
59382,AMD,2021-03-09,78.53
59383,AMD,2021-03-08,73.96
59384,AMD,2021-03-05,78.52
59385,AMD,2021-03-04,77.75
59386,AMD,2021-03-03,80.86
59387,AMD,2021-03-02,84.13
59388,AMD,2021-03-01,86.39
59389,AMD,2021-02-26,84.51
59390,AMD,2021-02-25,82.42
59391,AMD,2021-02-24,86.94
59392,AMD,2021-02-23,84.74
59393,AMD,2021-02-22,85.37
59394,AMD,2021-02-19,89.58
59395,AMD,2021-02-18,88.64
59396,AMD,2021-02-17,89.94
59397,AMD,2021-02-16,91.46
59398,AMD,2021-02-12,93.77
59399,AMD,2021-02-11,92.66
59400,AMD,2021-02-10,92.35
59401,AMD,2021-02-09,90.91
59402,AMD,2021-02-08,91.47
59403,AMD,2021-02-05,87.9
59404,AMD,2021-02-04,87.84
59405,AMD,2021-02-03,87.89
59406,AMD,2021-02-02,88.86
59407,AMD,2021-02-01,87.66
59408,AMD,2021-01-29,85.64
59409,AMD,2021-01-28,87.52
59410,AMD,2021-01-27,88.84
59411,AMD,2021-01-26,94.71
59412,AMD,2021-01-25,94.13
59413,AMD,2021-01-22,92.79
59414,AMD,2021-01-21,91.53
59415,AMD,2021-01-20,88.75
59416,AMD,2021-01-19,89.45
59417,AMD,2021-01-15,88.21
59418,AMCR,2021-07-15,11.57
59419,AMCR,2021-07-14,11.54
59420,AMCR,2021-07-13,11.56
59421,AMCR,2021-07-12,11.51
59422,AMCR,2021-07-09,11.51
59423,AMCR,2021-07-08,11.39
59424,AMCR,2021-07-07,11.55
59425,AMCR,2021-07-06,11.44
59426,AMCR,2021-07-02,11.54
59427,AMCR,2021-07-01,11.56
59428,AMCR,2021-06-30,11.46
59429,AMCR,2021-06-29,11.46
59430,AMCR,2021-06-28,11.55
59431,AMCR,2021-06-25,11.61
59432,AMCR,2021-06-24,11.52
59433,AMCR,2021-06-23,11.49
59434,AMCR,2021-06-22,11.54
59435,AMCR,2021-06-21,11.47
59436,AMCR,2021-06-18,11.36
59437,AMCR,2021-06-17,11.54
59438,AMCR,2021-06-16,11.82
59439,AMCR,2021-06-15,12.01
59440,AMCR,2021-06-14,12.15
59441,AMCR,2021-06-11,12.24
59442,AMCR,2021-06-10,12.07
59443,AMCR,2021-06-09,12.07
59444,AMCR,2021-06-08,12.08
59445,AMCR,2021-06-07,12.1
59446,AMCR,2021-06-04,12.15
59447,AMCR,2021-06-03,11.94
59448,AMCR,2021-06-02,11.86
59449,AMCR,2021-06-01,11.89
59450,AMCR,2021-05-28,11.8
59451,AMCR,2021-05-27,11.88
59452,AMCR,2021-05-26,11.78
59453,AMCR,2021-05-25,11.72
59454,AMCR,2021-05-24,11.821
59455,AMCR,2021-05-21,11.861
59456,AMCR,2021-05-20,11.871
59457,AMCR,2021-05-19,11.891
59458,AMCR,2021-05-18,12.069
59459,AMCR,2021-05-17,12.168
59460,AMCR,2021-05-14,12.247
59461,AMCR,2021-05-13,12.257
59462,AMCR,2021-05-12,12.029
59463,AMCR,2021-05-11,12.277
59464,AMCR,2021-05-10,12.326
59465,AMCR,2021-05-07,12.326
59466,AMCR,2021-05-06,12.366
59467,AMCR,2021-05-05,12.158
59468,AMCR,2021-05-04,12.307
59469,AMCR,2021-05-03,11.673
59470,AMCR,2021-04-30,11.633
59471,AMCR,2021-04-29,11.772
59472,AMCR,2021-04-28,11.574
59473,AMCR,2021-04-27,11.554
59474,AMCR,2021-04-26,11.623
59475,AMCR,2021-04-23,11.614
59476,AMCR,2021-04-22,11.534
59477,AMCR,2021-04-21,11.821
59478,AMCR,2021-04-20,11.742
59479,AMCR,2021-04-19,11.742
59480,AMCR,2021-04-16,11.831
59481,AMCR,2021-04-15,11.772
59482,AMCR,2021-04-14,11.623
59483,AMCR,2021-04-13,11.663
59484,AMCR,2021-04-12,11.604
59485,AMCR,2021-04-09,11.614
59486,AMCR,2021-04-08,11.455
59487,AMCR,2021-04-07,11.515
59488,AMCR,2021-04-06,11.861
59489,AMCR,2021-04-05,11.772
59490,AMCR,2021-04-01,11.544
59491,AMCR,2021-03-31,11.564
59492,AMCR,2021-03-30,11.623
59493,AMCR,2021-03-29,11.683
59494,AMCR,2021-03-26,11.663
59495,AMCR,2021-03-25,11.465
59496,AMCR,2021-03-24,11.198
59497,AMCR,2021-03-23,11.257
59498,AMCR,2021-03-22,11.297
59499,AMCR,2021-03-19,11.188
59500,AMCR,2021-03-18,11.247
59501,AMCR,2021-03-17,11.524
59502,AMCR,2021-03-16,11.386
59503,AMCR,2021-03-15,11.643
59504,AMCR,2021-03-12,11.653
59505,AMCR,2021-03-11,11.614
59506,AMCR,2021-03-10,11.812
59507,AMCR,2021-03-09,11.633
59508,AMCR,2021-03-08,11.643
59509,AMCR,2021-03-05,11.495
59510,AMCR,2021-03-04,11.158
59511,AMCR,2021-03-03,11.356
59512,AMCR,2021-03-02,11.317
59513,AMCR,2021-03-01,11.178
59514,AMCR,2021-02-26,10.831
59515,AMCR,2021-02-25,11.227
59516,AMCR,2021-02-24,11.297
59517,AMCR,2021-02-23,11.257
59518,AMCR,2021-02-22,11.191
59519,AMCR,2021-02-19,11.191
59520,AMCR,2021-02-18,11.191
59521,AMCR,2021-02-17,11.073
59522,AMCR,2021-02-16,11.024
59523,AMCR,2021-02-12,11.269
59524,AMCR,2021-02-11,11.073
59525,AMCR,2021-02-10,11.201
59526,AMCR,2021-02-09,11.015
59527,AMCR,2021-02-08,11.24
59528,AMCR,2021-02-05,11.24
59529,AMCR,2021-02-04,10.956
59530,AMCR,2021-02-03,10.789
59531,AMCR,2021-02-02,10.711
59532,AMCR,2021-02-01,10.672
59533,AMCR,2021-01-29,10.721
59534,AMCR,2021-01-28,10.956
59535,AMCR,2021-01-27,10.838
59536,AMCR,2021-01-26,10.985
59537,AMCR,2021-01-25,10.75
59538,AMCR,2021-01-22,10.868
59539,AMCR,2021-01-21,11.024
59540,AMCR,2021-01-20,11.005
59541,AMCR,2021-01-19,10.73
59542,AMCR,2021-01-15,10.828
59543,AMAT,2021-07-15,133.2
59544,AMAT,2021-07-14,135.65
59545,AMAT,2021-07-13,136.29
59546,AMAT,2021-07-12,136.8
59547,AMAT,2021-07-09,134.9
59548,AMAT,2021-07-08,132.53
59549,AMAT,2021-07-07,134.87
59550,AMAT,2021-07-06,136.78
59551,AMAT,2021-07-02,138.16
59552,AMAT,2021-07-01,137.95
59553,AMAT,2021-06-30,142.4
59554,AMAT,2021-06-29,141.92
59555,AMAT,2021-06-28,140.99
59556,AMAT,2021-06-25,136.19
59557,AMAT,2021-06-24,138.26
59558,AMAT,2021-06-23,135.5
59559,AMAT,2021-06-22,133.44
59560,AMAT,2021-06-21,133.05
59561,AMAT,2021-06-18,131.23
59562,AMAT,2021-06-17,137.32
59563,AMAT,2021-06-16,136.98
59564,AMAT,2021-06-15,138.64
59565,AMAT,2021-06-14,139.03
59566,AMAT,2021-06-11,136.82
59567,AMAT,2021-06-10,137.16
59568,AMAT,2021-06-09,134.65
59569,AMAT,2021-06-08,135.86
59570,AMAT,2021-06-07,138.97
59571,AMAT,2021-06-04,139.85
59572,AMAT,2021-06-03,136.38
59573,AMAT,2021-06-02,139.01
59574,AMAT,2021-06-01,138.21
59575,AMAT,2021-05-28,138.13
59576,AMAT,2021-05-27,137.82
59577,AMAT,2021-05-26,136.9
59578,AMAT,2021-05-25,137.259
59579,AMAT,2021-05-24,134.344
59580,AMAT,2021-05-21,128.435
59581,AMAT,2021-05-20,130.082
59582,AMAT,2021-05-19,124.582
59583,AMAT,2021-05-18,121.597
59584,AMAT,2021-05-17,123.354
59585,AMAT,2021-05-14,124.612
59586,AMAT,2021-05-13,119.71
59587,AMAT,2021-05-12,114.679
59588,AMAT,2021-05-11,123.334
59589,AMAT,2021-05-10,124.472
59590,AMAT,2021-05-07,132.717
59591,AMAT,2021-05-06,131.499
59592,AMAT,2021-05-05,130.062
59593,AMAT,2021-05-04,128.495
59594,AMAT,2021-05-03,132.618
59595,AMAT,2021-04-30,132.478
59596,AMAT,2021-04-29,135.153
59597,AMAT,2021-04-28,135.453
59598,AMAT,2021-04-27,136.541
59599,AMAT,2021-04-26,137.06
59600,AMAT,2021-04-23,134.624
59601,AMAT,2021-04-22,131.519
59602,AMAT,2021-04-21,134.814
59603,AMAT,2021-04-20,128.365
59604,AMAT,2021-04-19,130.661
59605,AMAT,2021-04-16,133.496
59606,AMAT,2021-04-15,134.175
59607,AMAT,2021-04-14,133.905
59608,AMAT,2021-04-13,134.864
59609,AMAT,2021-04-12,134.764
59610,AMAT,2021-04-09,138.667
59611,AMAT,2021-04-08,139.106
59612,AMAT,2021-04-07,138.896
59613,AMAT,2021-04-06,139.296
59614,AMAT,2021-04-05,142.8
59615,AMAT,2021-04-01,141.272
59616,AMAT,2021-03-31,133.366
59617,AMAT,2021-03-30,126.538
59618,AMAT,2021-03-29,125.49
59619,AMAT,2021-03-26,128.415
59620,AMAT,2021-03-25,119.51
59621,AMAT,2021-03-24,120.888
59622,AMAT,2021-03-23,116.176
59623,AMAT,2021-03-22,119.121
59624,AMAT,2021-03-19,114.659
59625,AMAT,2021-03-18,114.08
59626,AMAT,2021-03-17,119.69
59627,AMAT,2021-03-16,118.293
59628,AMAT,2021-03-15,114.679
59629,AMAT,2021-03-12,114.09
59630,AMAT,2021-03-11,116.985
59631,AMAT,2021-03-10,112.483
59632,AMAT,2021-03-09,114.02
59633,AMAT,2021-03-08,105.495
59634,AMAT,2021-03-05,113.251
59635,AMAT,2021-03-04,108.051
59636,AMAT,2021-03-03,115.238
59637,AMAT,2021-03-02,117.294
59638,AMAT,2021-03-01,122.036
59639,AMAT,2021-02-26,117.983
59640,AMAT,2021-02-25,113.731
59641,AMAT,2021-02-24,122.595
59642,AMAT,2021-02-23,115.729
59643,AMAT,2021-02-22,114.823
59644,AMAT,2021-02-19,119.038
59645,AMAT,2021-02-18,113.029
59646,AMAT,2021-02-17,115.301
59647,AMAT,2021-02-16,117.932
59648,AMAT,2021-02-12,116.287
59649,AMAT,2021-02-11,112.601
59650,AMAT,2021-02-10,105.506
59651,AMAT,2021-02-09,105.007
